Название улицы,Длина,Начальные координаты,Конечные координаты
Бабур улица,56.928,"(72.841532, 40.5364491)","(72.8418885, 40.5360147)"
,130.087,"(72.841532, 40.5364491)","(72.8400027, 40.5365826)"
,83.821,"(72.841532, 40.5364491)","(72.8425021, 40.5366004)"
Курманжан Датка,75.322,"(72.777468, 40.5512575)","(72.7780709, 40.5507585)"
Курманжан Датка,130.636,"(72.777468, 40.5512575)","(72.7764445, 40.5521381)"
,174.959,"(72.777468, 40.5512575)","(72.7790193, 40.5522892)"
8-марта улица,103.651,"(72.7816883, 40.5477011)","(72.7807638, 40.5470884)"
8-марта улица,110.202,"(72.7816883, 40.5477011)","(72.7826747, 40.5483495)"
Курманжан Датка,95.447,"(72.7816883, 40.5477011)","(72.7824494, 40.5470668)"
Курманжан Датка,61.622,"(72.7816883, 40.5477011)","(72.7811845, 40.5481018)"
Курманжан Датка,147.563,"(72.7919073, 40.5380298)","(72.7924002, 40.5367567)"
Курманжан Датка,68.312,"(72.7919073, 40.5380298)","(72.7916621, 40.5386152)"
Комуны улица,130.091,"(72.7919073, 40.5380298)","(72.7903794, 40.5379567)"
Курманжан Датка,54.705,"(72.7928397, 40.5356912)","(72.7926463, 40.5361607)"
Курманжан Датка улица,117.532,"(72.7928397, 40.5356912)","(72.7931721, 40.5346649)"
Алишер Навои,94.557,"(72.7928397, 40.5356912)","(72.7939096, 40.5359401)"
Алишера Новои улица,111.16,"(72.7928397, 40.5356912)","(72.7915328, 40.5355779)"
,19.365,"(72.720483, 40.5158945)","(72.7207115, 40.5159069)"
,95.954,"(72.720483, 40.5158945)","(72.7203479, 40.5167513)"
,394.84000000000003,"(72.720483, 40.5158945)","(72.7158241, 40.5156414)"
Касымбекова улица,45.71,"(72.8065451, 40.5664439)","(72.8060238, 40.5665542)"
Раззакова улица,172.131,"(72.8065451, 40.5664439)","(72.8074774, 40.5678204)"
Раззакова улица,197.83,"(72.8065451, 40.5664439)","(72.8054652, 40.5648652)"
,10.603,"(72.8039156, 40.5623575)","(72.8038058, 40.5624037)"
Исхака Разакова улица,53.111,"(72.8039156, 40.5623575)","(72.804202, 40.5627827)"
Исхака Разакова улица,97.184,"(72.8039156, 40.5623575)","(72.8036679, 40.561504)"
Рысбай Абдыкадыров,10.898,"(72.7846688, 40.5224539)","(72.7845399, 40.5224559)"
Рысбай Абдыкадыров,62.097,"(72.7846688, 40.5224539)","(72.7854031, 40.5224366)"
Саидова улица,66.935,"(72.7846688, 40.5224539)","(72.7846034, 40.5230538)"
Рысбай Абдыкадыров,39.97,"(72.771352, 40.5220762)","(72.7718242, 40.5220954)"
улица Р.Абдыкадырова,58.492000000000004,"(72.771352, 40.5220762)","(72.7706715, 40.5219914)"
Исхака Разакова улица,75.048,"(72.8029852, 40.5559459)","(72.8029788, 40.5566208)"
Исхака Разакова улица,29.457,"(72.8029852, 40.5559459)","(72.8029563, 40.5556819)"
,43.69,"(72.8029852, 40.5559459)","(72.8031792, 40.5556548)"
Исхака Разакова улица,25.447,"(72.802015, 40.5515625)","(72.8020821, 40.5517856)"
Исхака Разакова улица,39.928,"(72.802015, 40.5515625)","(72.8018795, 40.5512185)"
,97.791,"(72.802015, 40.5515625)","(72.8022952, 40.5507122)"
Абсамата Масалиева проспект,30.757,"(72.8023048, 40.5431753)","(72.8023537, 40.5429012)"
Жолдошбек Раимбеков,80.526,"(72.8023048, 40.5431753)","(72.8013906, 40.5429708)"
Абсамата Масалиева проспект,58.973,"(72.8023048, 40.5431753)","(72.8021656, 40.543695)"
,24.631,"(72.7932268, 40.4817781)","(72.7930957, 40.4819759)"
Калбай Исаков,6.634,"(72.7932268, 40.4817781)","(72.7932664, 40.4817266)"
Калбай Исаков,731.0489999999999,"(72.7932268, 40.4817781)","(72.7851025, 40.4808227)"
,73.612,"(72.7787232, 40.4998029)","(72.7780568, 40.4993769)"
,54.004,"(72.7787232, 40.4998029)","(72.7782762, 40.5001498)"
Учар улица,25.693,"(72.7787232, 40.4998029)","(72.7789541, 40.4996527)"
Боконбаева улица,452.992,"(72.7653038, 40.4929411)","(72.766735, 40.4968305)"
Мамырова улица,317.04200000000003,"(72.7653038, 40.4929411)","(72.7681941, 40.4947283)"
Мамырова улица,248.405,"(72.7653038, 40.4929411)","(72.764334, 40.4908361)"
Абдуманап Мамыров улица,14.267,"(72.7813087, 40.5029458)","(72.7811975, 40.5028493)"
Абдуманап Мамыров улица,86.839,"(72.7813087, 40.5029458)","(72.7818841, 40.5035927)"
,129.48,"(72.7813087, 40.5029458)","(72.7804783, 40.5022254)"
Абдуманап Мамыров улица,139.007,"(72.7906419, 40.5114236)","(72.7896418, 40.5104313)"
Амира Темира улица,282.577,"(72.7906419, 40.5114236)","(72.7900324, 40.5138989)"
Абдуманап Мамыров улица,238.086,"(72.7906419, 40.5114236)","(72.7930192, 40.512547)"
Абдыкадырова улица,9.063,"(72.7985586, 40.5252123)","(72.7986536, 40.5252501)"
Ленина улица,16.605,"(72.7985586, 40.5252123)","(72.798466, 40.525344)"
Баялинова улица,12.562,"(72.8012958, 40.5219672)","(72.8011702, 40.5219068)"
Ленина улица,8.358,"(72.8012958, 40.5219672)","(72.8012397, 40.5220291)"
Ленина улица,232.252,"(72.8032971, 40.5197064)","(72.8048812, 40.5179998)"
Ломоносова улица,10.72,"(72.8032971, 40.5197064)","(72.8033923, 40.5197701)"
Ленина улица,4.046,"(72.8032971, 40.5197064)","(72.8032704, 40.5197366)"
Ленина улица,156.23,"(72.8098327, 40.5124868)","(72.8088481, 40.5136758)"
Ленина улица,107.75,"(72.8098327, 40.5124868)","(72.8106053, 40.5117161)"
Джиннах М.А. улица,121.744,"(72.8098327, 40.5124868)","(72.8083976, 40.5123955)"
,118.93299999999999,"(72.8098327, 40.5124868)","(72.8108865, 40.5122453)"
Жунусова улица,105.784,"(72.8129064, 40.5088314)","(72.8118618, 40.5083077)"
Ленина улица,183.934,"(72.8129064, 40.5088314)","(72.8118724, 40.5102868)"
Ленина улица,132.669,"(72.8129064, 40.5088314)","(72.813629, 40.5077723)"
