Название улицы,Длина,Начальные координаты,Конечные координаты
,99.642,"(80.1936933, 50.3456964)","(80.1942763, 50.3465024)"
Волгоградская улица,55.56,"(80.2056482, 50.363674)","(80.2050959, 50.3633197)"
,111.237,"(80.2056482, 50.363674)","(80.2046773, 50.3644596)"
,62.614,"(80.2121707, 50.3671446)","(80.2115686, 50.3675564)"
Волгоградская улица,602.545,"(80.2121707, 50.3671446)","(80.2056482, 50.363674)"
,98.99699999999999,"(80.182773, 50.3706228)","(80.1836389, 50.3699245)"
Семей-Саржал,49.635999999999996,"(80.182773, 50.3706228)","(80.1833545, 50.3708712)"
Семей-Курчатов,71.32900000000001,"(80.182773, 50.3706228)","(80.1821067, 50.3711033)"
Семей-Саржал,88.86,"(80.182773, 50.3706228)","(80.1817319, 50.3701782)"
Семипалатинск — Георгиевка,27.498,"(80.2728687, 50.3575211)","(80.2730822, 50.3573147)"
Семипалатинск - Георгиевка,11.44,"(80.2728687, 50.3575211)","(80.2727488, 50.3575899)"
Семипалатинск - Георгиевка,3.396,"(80.2718971, 50.3580603)","(80.2719446, 50.3580641)"
6-й Кирпичный переулок,79.351,"(80.2718971, 50.3580603)","(80.2711284, 50.3575419)"
Семипалатинск — Георгиевка,192.978,"(80.2718971, 50.3580603)","(80.2706011, 50.3595617)"
Павлодар - Семей,26.288,"(80.2377916, 50.4473602)","(80.2380249, 50.4475441)"
Павлодар - Семипалатинск,92.84299999999999,"(80.2377916, 50.4473602)","(80.2370988, 50.4466518)"
Павлодар - Семипалатинск,29.464,"(80.2362467, 50.4457298)","(80.2360886, 50.4454847)"
Павлодар - Семипалатинск,119.065,"(80.2362467, 50.4457298)","(80.2370988, 50.4466518)"
,141.967,"(80.2362467, 50.4457298)","(80.2349027, 50.446468)"
улица Джангильдина,176.691,"(80.2358097, 50.4450467)","(80.2342505, 50.4462873)"
улица Джангильдина,377.81600000000003,"(80.2358097, 50.4450467)","(80.2402027, 50.4433967)"
улица Шугаева,22.745,"(80.2358097, 50.4450467)","(80.2356506, 50.4448924)"
Павлодар - Семипалатинск,52.639,"(80.2358097, 50.4450467)","(80.2360886, 50.4454847)"
Жангелдин көшесі,191.792,"(80.2472192, 50.4405642)","(80.249198, 50.4393866)"
улица Джангильдина,120.766,"(80.2472192, 50.4405642)","(80.2460883, 50.4413771)"
Сеченова,83.615,"(80.2472192, 50.4405642)","(80.2483999, 50.440563)"
Челюскинцев,165.332,"(80.2472192, 50.4405642)","(80.2454011, 50.4397031)"
Ру,43.036,"(80.2599143, 50.4405857)","(80.2603427, 50.4408602)"
Сеченова,55.179,"(80.2599143, 50.4405857)","(80.2591354, 50.4405988)"
Қаржаубайұлы көшесі,96.841,"(80.2599143, 50.4405857)","(80.2589503, 50.439968)"
Қаржаубайұлы көшесі,59.474,"(80.263446, 50.4429847)","(80.2640095, 50.4433813)"
Қаржаубайұлы көшесі,47.533,"(80.263446, 50.4429847)","(80.2629203, 50.4427189)"
Параллельная улица,19.337,"(80.2763557, 50.4475313)","(80.2765607, 50.4474164)"
Қаржаубайұлы көшесі,22.73,"(80.2763557, 50.4475313)","(80.2760555, 50.4474589)"
Қаржаубайұлы көшесі,67.26,"(80.2763557, 50.4475313)","(80.2771973, 50.4478118)"
Қаржаубайұлы көшесі,57.418,"(80.2832307, 50.4493797)","(80.2824779, 50.4491877)"
Қаржаубайұлы көшесі,30.2,"(80.2832307, 50.4493797)","(80.2836267, 50.4494806)"
Лесная,169.17000000000002,"(80.2832307, 50.4493797)","(80.2815886, 50.450467)"
Қаржаубайұлы көшесі,34.587,"(80.284711, 50.4497571)","(80.2842575, 50.4496415)"
11й проезд,199.859,"(80.284711, 50.4497571)","(80.2867991, 50.4485477)"
Қаржаубайұлы көшесі,80.479,"(80.284711, 50.4497571)","(80.2857102, 50.450102)"
Юбилейная улица,29.407,"(80.2890446, 50.4517687)","(80.2894564, 50.4518032)"
А-11 трасса,7.928,"(80.2890446, 50.4517687)","(80.2890762, 50.4518371)"
улица Мичурина,63.721000000000004,"(80.2890446, 50.4517687)","(80.2887209, 50.4512341)"
Қаржаубайұлы көшесі,154.132,"(80.2890446, 50.4517687)","(80.287377, 50.4508777)"
,13.569,"(80.2899789, 50.4558398)","(80.2901687, 50.4558228)"
А-11,151.207,"(80.2899789, 50.4558398)","(80.2899045, 50.4544831)"
,108.751,"(80.2899789, 50.4558398)","(80.2891481, 50.4564436)"
Центральная улица,13.039,"(80.288324, 50.4617858)","(80.2885013, 50.461754)"
улица Туктубаева,105.267,"(80.288324, 50.4617858)","(80.2884591, 50.4608448)"
ул. Селевина,70.633,"(80.2362575, 50.3782562)","(80.2354904, 50.377851)"
Титова,13.188,"(80.2362575, 50.3782562)","(80.2363799, 50.3781669)"
ул. Селевина,317.804,"(80.2333403, 50.376763)","(80.2298628, 50.3749602)"
ул. Волгоградская,130.685,"(80.2277939, 50.374425)","(80.2262847, 50.3737506)"
ул. Селевина,30.432,"(80.242328, 50.381236)","(80.2426617, 50.3814081)"
ул. Селевина,118.563,"(80.242328, 50.381236)","(80.2410166, 50.3805745)"
проспект Ауэзова,351.46,"(80.242328, 50.381236)","(80.2454838, 50.3787997)"
улица Ибраева,26.427,"(80.246496, 50.4109029)","(80.2467527, 50.4107305)"
Шәкәрім даңғылы,73.689,"(80.246496, 50.4109029)","(80.2457485, 50.4104422)"
проспект Шакарима,9.062,"(80.246496, 50.4109029)","(80.2465874, 50.4109599)"
Шәкәрім даңғылы,10.874,"(80.2561577, 50.4168002)","(80.2562695, 50.4168672)"
Қабанбай Батыр көшесі,124.724,"(80.2561577, 50.4168002)","(80.2573861, 50.4159968)"
Қабанбай Батыр көшесі,127.916,"(80.2561577, 50.4168002)","(80.2549124, 50.4176331)"
Шәкәрім даңғылы,86.286,"(80.2561577, 50.4168002)","(80.2552845, 50.4162593)"
улица Кабанбай Батыра,22.047,"(80.239689, 50.4277049)","(80.2394439, 50.4278271)"
Қабанбай Батыр көшесі,28.312,"(80.239689, 50.4277049)","(80.2399693, 50.4275234)"
Қаржаубайұлы көшесі,475.872,"(80.239689, 50.4277049)","(80.2443418, 50.4307892)"
Шәкәрім даңғылы,18.416,"(80.2418663, 50.408178)","(80.2420693, 50.4082814)"
Шәкәрім даңғылы,17.473,"(80.2418663, 50.408178)","(80.2416473, 50.4081058)"
улица Кабылбаева,23.867,"(80.2468014, 50.4321623)","(80.2470374, 50.4320091)"
улица Кабылбаева,19.736,"(80.2468014, 50.4321623)","(80.2467032, 50.4323284)"
Қаржаубайұлы көшесі,139.28,"(80.2468014, 50.4321623)","(80.2482505, 50.433009)"
Сатпаева,272.844,"(80.1958253, 50.4636826)","(80.1994999, 50.4629415)"
Аккульская,288.28,"(80.1958253, 50.4636826)","(80.1925137, 50.4649593)"
Сатпаева,226.851,"(80.1958253, 50.4636826)","(80.1926562, 50.4639865)"
Мирный пер.,163.248,"(80.2039496, 50.4619381)","(80.2049823, 50.4631882)"
Сатпаева,84.738,"(80.2039496, 50.4619381)","(80.2049081, 50.4614854)"
Сатпаева,134.99099999999999,"(80.2039496, 50.4619381)","(80.2022219, 50.4624378)"
улица Гагарина,107.938,"(80.2275147, 50.4335067)","(80.22667, 50.4327061)"
улица Шугаева,57.533,"(80.2275147, 50.4335067)","(80.2274738, 50.4340193)"
улица Шугаева,34.247,"(80.2275147, 50.4335067)","(80.2277528, 50.4332405)"
ул. Чехова,25.236,"(80.2654395, 50.4300178)","(80.2657112, 50.4301646)"
просп. Шакарима,137.58800000000002,"(80.2654395, 50.4300178)","(80.2654901, 50.4287819)"
улица Чехова,110.813,"(80.2654395, 50.4300178)","(80.2644022, 50.4293084)"
