Название улицы,Длина,Начальные координаты,Конечные координаты
Абай даңғылы,129.543,"(71.387466, 42.8825885)","(71.3882194, 42.8815626)"
Абай даңғылы,28.48,"(71.387466, 42.8825885)","(71.3873049, 42.8828158)"
,17.784,"(71.387466, 42.8825885)","(71.3876726, 42.8826401)"
Абай даңғылы,23.103,"(71.3784987, 42.9010512)","(71.3785585, 42.9012543)"
Төле би даңғылы,22.109,"(71.3784987, 42.9010512)","(71.3787665, 42.9010188)"
Төле би даңғылы,9.562,"(71.3784987, 42.9010512)","(71.3783832, 42.9010666)"
Абай даңғылы,20.557,"(71.3784987, 42.9010512)","(71.378461, 42.9008684)"
Абай даңғылы,22.617,"(71.3799445, 42.902818)","(71.3797343, 42.9026851)"
Абай даңғылы,27.914,"(71.3799445, 42.902818)","(71.3802197, 42.9029676)"
Сүлейменов,20.868,"(71.3799445, 42.902818)","(71.379691, 42.9028452)"
Абай даңғылы,119.58,"(71.3982546, 42.9125622)","(71.3969016, 42.9121444)"
,48.808,"(71.3982546, 42.9125622)","(71.3988411, 42.9125734)"
Абая проспект,114.586,"(71.4036311, 42.9128457)","(71.4050352, 42.9129122)"
Абай даңғылы,121.343,"(71.4036311, 42.9128457)","(71.4021436, 42.9127825)"
Сыпатай Батыр,33.168,"(71.4036311, 42.9128457)","(71.4036715, 42.912549)"
Сыпатай Батыр,297.115,"(71.4036311, 42.9128457)","(71.4032548, 42.9155029)"
проспект Жамбылаект,30.059,"(71.4232914, 42.9218694)","(71.4229815, 42.9220163)"
проспект Жамбылаект,14.12,"(71.4232914, 42.9218694)","(71.4233988, 42.9217697)"
,20.362,"(71.3328506, 42.9299852)","(71.3330703, 42.9298977)"
,60.384,"(71.3328506, 42.9299852)","(71.3321659, 42.9301857)"
,100.283,"(71.3328506, 42.9299852)","(71.3320066, 42.9302108)"
,89.619,"(71.3408743, 42.9262085)","(71.3416243, 42.9267984)"
Сүлейменов,134.799,"(71.3408743, 42.9262085)","(71.342015, 42.9253299)"
,144.792,"(71.3408743, 42.9262085)","(71.3394269, 42.9269564)"
Сүлейменов,43.429,"(71.3630749, 42.908941)","(71.3627371, 42.9092432)"
Жамбыл даңғылы,7.835,"(71.3630749, 42.908941)","(71.3631541, 42.908981)"
Сүлейменов,132.178,"(71.3630749, 42.908941)","(71.3640996, 42.9080192)"
